id,action,details,created_at
log_rep_6_1785854327201,Atta (আটা) (Stock IN (+)),'+30 kg | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_7_1785854327201,Chowmein Noodle (চাউমিন) (Stock IN (+)),'+100 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_8_1785854327201,Tomato Sauce (টমেটো sos) (Stock IN (+)),'+30 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_9_1785854327201,Chili Sauce (Stock IN (+)),'+15 pcs | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_10_1785854327201,Soy Sauce (Stock IN (+)),'+4 pcs | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_11_1785854327201,Vinegar (Stock IN (+)),'+10 pcs | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_12_1785854327201,Corn Flour (Stock IN (+)),'+12 kg | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_13_1785854327201,Kasuri Methi (Stock IN (+)),'+120 pcs | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_14_1785854327201,Chat Masala (Stock IN (+)),'+20 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_15_1785854327201,Kashmiri Chilli Powder (Stock IN (+)),'+10 pcs | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_16_1785854327201,Ajinomoto (Ajina) (Stock IN (+)),'+7 kg | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_17_1785854327201,Chilli Powder (Stock IN (+)),'+80 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_18_1785854327201,Haldi (Turmeric Powder) (Stock IN (+)),'+50 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_19_1785854327201,Jeera (Cumin Seeds) (Stock IN (+)),'+3000 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_20_1785854327201,Dal (Pulses) (Stock IN (+)),'+2000 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_21_1785854327201,Kabuli Chana (Stock IN (+)),'+3000 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_22_1785854327201,Mix Dal (Stock IN (+)),'+2000 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_23_1785854327201,Attar / Essence (Stock IN (+)),'+6 pcs | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_24_1785854327201,Red Food Color (Stock IN (+)),'+4 box | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_25_1785854327201,Yellow Food Color (Stock IN (+)),'+2 box | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_26_1785854327201,Green Food Color (Stock IN (+)),'+2 box | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_27_1785854327201,Mouri (Fennel Seeds) (Stock IN (+)),'+1000 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_28_1785854327201,Sugar (Stock IN (+)),'+7 kg | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_29_1785854327201,Posto (Poppy Seeds) (Stock IN (+)),'+10 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_30_1785854327201,Dalda / Vanaspati (Stock IN (+)),'+12 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_31_1785854327201,Kaju (Cashew Nuts) (Stock IN (+)),'+2000 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_32_1785854327201,Mogoz (Melon Seeds) (Stock IN (+)),'+500 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_33_1785854327201,Elachi (Cardamom) (Stock IN (+)),'+700 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_34_1785854327201,Long (Cloves) (Stock IN (+)),'+300 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_35_1785854327201,Jaitri (Mace) (Stock IN (+)),'+450 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_36_1785854327201,Dalchini (Cinnamon) (Stock IN (+)),'+500 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_37_1785854327201,Starful (Star Anise) (Stock IN (+)),'+500 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_38_1785854327201,Rose Petals (Stock IN (+)),'+450 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_39_1785854327201,Shahi Jeera (Stock IN (+)),'+5 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_40_1785854327201,Black Pepper (Gol Morich) (Stock IN (+)),'+900 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_41_1785854327201,Pure Ghee (Stock IN (+)),'+3 box | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_42_1785854327201,Baking Powder (Stock IN (+)),'+1 box | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_43_1785854327201,Mushroom (Stock IN (+)),'+3 box | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_44_1785854327201,Papad (Stock IN (+)),'+30 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_45_1785854327201,Black Salt (Bit Nun) (Stock IN (+)),'+2 kg | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_46_1785854327201,Regular Salt (Stock IN (+)),'+25 pcs | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_47_1785854327201,Dhania (Coriander Seeds) (Stock IN (+)),'+1500 g | Report Stock IN entry,2026-08-04T14:38:54.196Z
